id , name,type,ordering_attribute,ordering_type
1080,Pittsburgh's Favorite Oldies: For Lovers Only,1,788,1
1050,Casa Musica,1,788,1
1066,Space Night,1,788,1
1051,The Complete Music for Piano Trio,1,788,1
1052,"Thematic, Bibliographical and Critical Catalogue of the Works of Luigi Boccherini",5,788,1
1053,Cello Quintets,1,788,1
1067,Today's Top Hits,1,788,1
1054,Piano Music by Cécile Chaminade,1,788,1
3259,Archive Series,1,788,1
1056,Bach Edition,1,788,1
1068,Indie Top 20,1,788,1
1089,Goa Trance,1,788,1
1074,Schlachtrufe BRD,1,788,1
1075,BRD Punk Terror,1,788,1
1095,Nasty Rockabilly,1,788,1
1076,Punk Rock BRD,1,788,1
1077,Interbreeding,1,788,1
1083,Ordres de pièces de clavecin,4,788,1
1078,The Silent Ballet,1,788,1
1090,Goa Trance,1,788,1
1084,Culture Dance,1,788,1
1085,De Afrekening,1,788,1
1086,Goa-Head,1,788,1
1091,Progressive Goa Trance,1,788,1
1087,Goa Trance Missions,1,788,1
1092,The World of Goa Trance,1,788,1
1096,Rockabilly Rarities,1,788,1
1093,Electrocity,1,788,1
1094,Espaço Rap,1,788,1
1100,Starfloor,1,788,1
1097,Esopus,1,788,1
1098,Total Togetherness,1,788,1
2598,MNM Big Hits,1,788,1
1101,Motown Chartbusters,1,788,1
1104,Yesterdays Gold,1,788,1
1102,huH,1,788,1
1103,Cherrymoon,1,788,1
1107,Acid Flash,1,788,1
1106,New Shit,1,788,1
2698,Leonhard von Call's Opus,5,788,1
1060,Jazz Archives,2,788,1
1109,Ravermeister,1,788,1
1110,AMP Sampler,1,788,1
1111,Golden Touch Classics,2,788,1
1112,Wild FM,1,788,1
1113,The Wknd Sessions,1,788,1
1114,Diggin' Deeper,1,788,1
1105,Serious Beats,1,788,1
1136,Teenage Crush,1,788,1
1168,Meditation: Classical Relaxation,1,788,1
1137,Really Fast,1,788,1
1149,Arbeidsvitaminen,1,788,1
1138,Fast Fashion,1,788,1
1139,Goa X,1,788,1
1160,Television's Greatest Hits,1,788,1
1140,Israel's Psychedelic Trance,1,788,1
1150,Dance Machine,1,788,1
1141,Global Psychedelic Trance,1,788,1
1151,Goa Beach,1,788,1
2346,Debut EP Presentation Tour,7,788,1
1152,Goa,1,788,1
1161,Breath of Fire,4,788,1
1153,Freedom Punker,1,788,1
1154,Jazz,1,788,1
1172,X-Mix Club Classics,1,788,1
1155,Polonaise,1,788,1
1162,Adrenalin,1,788,1
1156,Reggae Hits,1,788,1
1157,Party Hits,1,788,1
1158,Metal Massacre,1,788,1
1177,Elvira Presents,1,788,1
1163,Cities 97 Sampler,1,788,1
1173,X-Mix Urban Series,1,788,1
1165,Grandes compositores da música clássica,1,788,1
1166,Unconditionally Guaranteed,1,788,1
1174,X-Mix Dance Series,1,788,1
1169,KGSR Broadcasts,1,788,1
1170,Toe 2 Toe,1,788,1
1181,Punk-O-Rama,1,788,1
1178,Bip-Hop Generation,1,788,1
1171,Rubble,1,788,1
1175,Freestyle Singles Collection,1,788,1
1176,Monster Hits,1,788,1
1179,Pioneer: The Album,1,788,1
1182,Boulevard des hits,1,788,1
1183,Oldies but Goodies,1,788,1
1184,Off Road Tracks,1,788,1
2366,Eesti Hip-Hop Festival,8,788,1
1280,Die goeie ouwe radio,1,788,1
1315,Bed_ich Smetana Opus,5,788,1
1281,Transistance,1,788,1
1305,Live From the Mountain Music Lounge,1,788,1
1282,Jazz Lounge,1,788,1
1283,The Golden Years of Jazz,1,788,1
1397,Club Beats,1,788,1
1403,Protest Records,1,788,1
1398,Magnet New Music Sampler,1,788,1
1407,Metal Hammer: Hammered,1,788,1
1404,Creation Soup,1,788,1
1406,Celtic Myst,1,788,1
1409,Ultra Techno,1,788,1
1408,Industrial Frequencies,1,788,1
1410,Home EP,1,788,1
1411,The Home of Opera,2,788,1
1413,Trendance,1,788,1
1412,Tommy Boy 20th Anniversary Series,2,788,2
1414,Spin,1,788,1
1415,Bedroom Escapades,1,788,1
1416,Octan,1,788,1
1417,Wild Gold,1,788,1
1418,Silent Dreams,1,788,1
1356,Alessandro Longo's catalog of Domenico Scarlatti's keyboard works,5,788,1
1419,Early Girls,1,788,1
1420,Vibe 97,1,788,1
1458,Living Some Dreams,1,788,2
1421,Cosmopolitan,1,788,1
1443,Club Cutz,1,788,1
1422,Cosmic Cubes,1,788,1
1423,That's Soul,1,788,1
1486,Careless Whisper,1,788,1
1441,Café Ibiza,1,788,1
1461,Motown Legends,1,788,1
1442,Mixmania,1,788,1
1451,Planet DJ,1,788,1
1471,Platipus,1,788,1
1452,Hit Machine,1,788,1
1462,100% barn,1,788,1
1453,Hit Machine,1,788,1
1454,Mercury Celebrity Series,2,788,2
1455,30 Years of #1 Hits,1,788,1
1463,Dream Injection,1,788,1
1456,The Best of the Complete Mozart Edition,2,788,1
1457,Milken Archive of American Jewish Music,2,788,1
1478,New Noise,1,788,1
1472,Comfort Zone,1,788,1
1464,StonerRock.comp,1,788,1
1465,Metal Dreams,1,788,1
1466,Radio Kerrang!,1,788,1
1473,Schmuse-Hits,1,788,1
1467,Retro Manija,1,788,1
1468,MTV Lounge,1,788,1
1483,Advanced Electronics,1,788,1
1469,Bar Jazz,1,788,1
1479,Ear Snacks,1,788,1
1474,Headshots,1,788,1
1475,Freestyle Explosion,1,788,1
1476,Sue CD,1,788,1
1480,Pure Lovers,1,788,1
1477,Frankfurt Trax,1,788,1
1481,Motown Classics,1,788,1
1484,Right On!,1,788,1
1482,Alligator Stomp,1,788,1
1488,Trance Party,1,788,1
1485,Dream Babes,1,788,1
1487,Chillout Xis,1,788,1
1490,MIXclusives,1,788,1
1489,Dark Awakening,1,788,1
1491,Totally Country,1,788,1
1492,Hollywood Hairspray,1,788,1
1493,m2o,1,788,1
1494,Pointessential,1,788,1
1495,Hardbeatz,1,788,1
2349,Punk in Tartu Presents,6,788,1
